2020-04-19 02:32:29{GMT+0} INFO  [main] application.AppTester: The application has started...
2020-04-19 02:32:35{GMT+0} INFO  [main] org.apache.spark.SparkContext: Running Spark version 2.4.4
2020-04-19 02:32:35{GMT+0} WARN  [main] org.apache.hadoop.util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2020-04-19 02:32:35{GMT+0} INFO  [main] org.apache.spark.SparkContext: Submitted application: File Extension Counter
2020-04-19 02:32:36{GMT+0} INFO  [main] org.apache.spark.SecurityManager: Changing view acls to: r_kar
2020-04-19 02:32:36{GMT+0} INFO  [main] org.apache.spark.SecurityManager: Changing modify acls to: r_kar
2020-04-19 02:32:36{GMT+0} INFO  [main] org.apache.spark.SecurityManager: Changing view acls groups to: 
2020-04-19 02:32:36{GMT+0} INFO  [main] org.apache.spark.SecurityManager: Changing modify acls groups to: 
2020-04-19 02:32:36{GMT+0} INFO  [main] org.apache.spark.SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(r_kar); groups with view permissions: Set(); users  with modify permissions: Set(r_kar); groups with modify permissions: Set()
2020-04-19 02:32:40{GMT+0} INFO  [main] org.apache.spark.util.Utils: Successfully started service 'sparkDriver' on port 59772.
2020-04-19 02:32:40{GMT+0} INFO  [main] org.apache.spark.SparkEnv: Registering MapOutputTracker
2020-04-19 02:32:40{GMT+0} INFO  [main] org.apache.spark.SparkEnv: Registering BlockManagerMaster
2020-04-19 02:32:40{GMT+0} INFO  [main] org.apache.spark.storage.BlockManagerMasterEndpoint: Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2020-04-19 02:32:40{GMT+0} INFO  [main] org.apache.spark.storage.BlockManagerMasterEndpoint: BlockManagerMasterEndpoint up
2020-04-19 02:32:40{GMT+0} INFO  [main] org.apache.spark.storage.DiskBlockManager: Created local directory at C:\Users\r_kar\AppData\Local\Temp\blockmgr-845c095e-3b92-4474-83e9-1f685a87d47f
2020-04-19 02:32:40{GMT+0} INFO  [main] org.apache.spark.storage.memory.MemoryStore: MemoryStore started with capacity 2.9 GB
2020-04-19 02:32:40{GMT+0} INFO  [main] org.apache.spark.SparkEnv: Registering OutputCommitCoordinator
2020-04-19 02:32:40{GMT+0} INFO  [main] org.spark_project.jetty.util.log: Logging initialized @12036ms
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.Server: jetty-9.3.z-SNAPSHOT, build timestamp: unknown, git hash: unknown
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.Server: Started @12171ms
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.AbstractConnector: Started ServerConnector@49f5c307{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.apache.spark.util.Utils: Successfully started service 'SparkUI' on port 4040.
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@2fd1731c{/jobs,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@59aa20b3{/jobs/json,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@363f6148{/jobs/job,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@1b28f282{/jobs/job/json,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@138fe6ec{/stages,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@5e77f0f4{/stages/json,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@19b30c92{/stages/stage,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@4816c290{/stages/stage/json,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@4940809c{/stages/pool,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@16423501{/stages/pool/json,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@4efcf8a{/storage,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@7a138fc5{/storage/json,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@379ab47b{/storage/rdd,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@307765b4{/storage/rdd/json,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@4a9e6faf{/environment,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@2c95ac9e{/environment/json,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@4e4efc1b{/executors,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@459f7aa3{/executors/json,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@7cc586a8{/executors/threadDump,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@7db534f2{/executors/threadDump/json,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@44a2b17b{/static,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@1eef9aef{/,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@11389053{/api,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@9f46d94{/jobs/job/kill,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.spark_project.jetty.server.handler.ContextHandler: Started o.s.j.s.ServletContextHandler@18cc679e{/stages/stage/kill,null,AVAILABLE,@Spark}
2020-04-19 02:32:41{GMT+0} INFO  [main] org.apache.spark.ui.SparkUI: Bound SparkUI to 0.0.0.0, and started at http://DESKTOP-I6NGAN6:4040
2020-04-19 02:32:41{GMT+0} INFO  [main] org.apache.spark.executor.Executor: Starting executor ID driver on host localhost
2020-04-19 02:32:41{GMT+0} INFO  [main] org.apache.spark.util.Utils: Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 59809.
2020-04-19 02:32:41{GMT+0} INFO  [main] org.apache.spark.network.netty.NettyBlockTransferService: Server created on DESKTOP-I6NGAN6:59809
2020-04-19 02:32:41{GMT+0} INFO  [main] org.apache.spark.storage.BlockManager: Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
2020-04-19 02:32:41{GMT+0} INFO  [main] org.apache.spark.storage.BlockManagerMaster: Registering BlockManager BlockManagerId(driver, DESKTOP-I6NGAN6, 59809, None)
